order_id,product_name,category,region,quantity,price,discount_percent,final_price,total_revenue,payment_status,order_status
1484,iPhone 14,Electronics,North,3,80000,35,52000,156000,Success,Completed
1485,Nike Shoes,Fashion,North,2,5000,35,3250,6500,Failed,Failed
1486,Dell Laptop,Electronics,South,3,65000,30,45500,136500,Success,Completed
1487,HP Printer,Electronics,West,2,12000,20,9600,19200,Failed,Failed
1488,iPhone 14,Electronics,South,1,80000,25,60000,60000,Success,Completed
1489,Samsung TV,Electronics,South,1,45000,30,31500,31500,Failed,Failed
1490,Dell Laptop,Electronics,North,2,65000,25,48750,97500,Success,Completed
1491,Wooden Table,Furniture,East,2,15000,50,7500,15000,Failed,Failed
1492,Wooden Table,Furniture,North,2,15000,50,7500,15000,Failed,Failed
1493,Dell Laptop,Electronics,East,2,65000,50,32500,65000,Failed,Failed
1494,iPhone 14,Electronics,East,2,80000,20,64000,128000,Failed,Failed
1495,HP Printer,Electronics,East,3,12000,35,7800,23400,Success,Completed
1496,HP Printer,Electronics,East,2,12000,50,6000,12000,Success,Completed
1497,Office Chair,Furniture,North,1,7000,50,3500,3500,Failed,Failed
1498,Office Chair,Furniture,South,2,7000,35,4550,9100,Success,Completed
1499,Apple Watch,Electronics,East,3,30000,40,18000,54000,Failed,Failed
1500,Office Chair,Furniture,North,2,7000,30,4900,9800,Success,Completed
1501,Wooden Table,Furniture,East,2,15000,20,12000,24000,Success,Completed
1502,Samsung TV,Electronics,South,3,45000,35,29250,87750,Failed,Failed
1503,HP Printer,Electronics,South,1,12000,25,9000,9000,Failed,Failed
1504,Nike Shoes,Fashion,East,2,5000,30,3500,7000,Success,Completed
1505,Wooden Table,Furniture,East,1,15000,35,9750,9750,Failed,Failed
1506,Samsung TV,Electronics,East,2,45000,20,36000,72000,Success,Completed
1507,Apple Watch,Electronics,East,2,30000,35,19500,39000,Success,Completed
1508,Apple Watch,Electronics,West,3,30000,20,24000,72000,Failed,Failed
1509,Office Chair,Furniture,East,3,7000,25,5250,15750,Success,Completed
1510,Wooden Table,Furniture,East,3,15000,50,7500,22500,Success,Completed
1511,HP Printer,Electronics,West,2,12000,40,7200,14400,Failed,Failed
1512,Adidas Jacket,Fashion,South,3,4500,35,2925,8775,Success,Completed
1513,Samsung TV,Electronics,West,2,45000,20,36000,72000,Success,Completed
1514,Wooden Table,Furniture,East,2,15000,50,7500,15000,Success,Completed
1515,Dell Laptop,Electronics,South,1,65000,40,39000,39000,Success,Completed
1516,HP Printer,Electronics,North,1,12000,50,6000,6000,Success,Completed
1517,Nike Shoes,Fashion,North,3,5000,40,3000,9000,Failed,Failed
1518,Wooden Table,Furniture,West,2,15000,50,7500,15000,Failed,Failed
1519,Sony Headphones,Electronics,East,2,8000,25,6000,12000,Failed,Failed
1520,Office Chair,Furniture,West,3,7000,35,4550,13650,Failed,Failed
1521,Dell Laptop,Electronics,South,1,65000,50,32500,32500,Failed,Failed
1522,Wooden Table,Furniture,North,1,15000,35,9750,9750,Failed,Failed
1523,Adidas Jacket,Fashion,West,2,4500,30,3150,6300,Failed,Failed
1524,Dell Laptop,Electronics,North,3,65000,20,52000,156000,Failed,Failed
1525,Nike Shoes,Fashion,West,1,5000,25,3750,3750,Success,Completed
1526,HP Printer,Electronics,South,3,12000,25,9000,27000,Failed,Failed
1527,Nike Shoes,Fashion,South,2,5000,35,3250,6500,Failed,Failed
1528,Samsung TV,Electronics,West,3,45000,35,29250,87750,Success,Completed
1529,Dell Laptop,Electronics,East,3,65000,20,52000,156000,Failed,Failed
